,Date,Dry Opium Farm-gate Price,Dry Opium Trader Price
0,10-Jan,95,102
0,10-Feb,95,101
0,10-Jun,125,134
0,10-Apr,100,110
0,10-May,124,134
0,10-Jun,125,134
0,10-Jul,172,187
0,10-Aug,202,209
0,10-Sep,207,226
0,10-Oct,204,220
0,10-Nov,213,228
0,10-Dec,241,257
0,11-Jan,267,280
0,11-Feb,276,291
0,11-Mar,274,289
0,11-Apr,256,273
0,11-May,250,265
0,11-Jun,261,274
0,11-Jul,260,267
0,11-Aug,254,264
0,11-Sep,246,262
0,11-Dec,243,256
0,12-Jan,234,249
0,12-Feb,231,244
0,12-Mar,220,232
0,12-Apr,210,222
0,12-May,219,231
0,12-Jun,215,225
0,12-Jul,203,212
0,12-Aug,211,221
0,12-Sep,204,213
0,12-Oct,193,201
0,12-Nov,185,190
0,12-Dec,191,199
0,13-Jan,191,201
0,13-Feb,181,189
0,13-Mar,178,186
0,13-Apr,159,168
0,13-May,160,168
0,13-Jun,142,151
0,13-Jul,143,152
0,13-Aug,141,151
0,13-Sep,134,143
0,13-Oct,143,153
0,13-Nov,146,156
0,13-Dec,144,154
0,14-Jan,147,157
0,14-Feb,142,150
0,14-Mar,141,149
0,14-Apr,133,143
0,14-May,129,138
0,14-Jun,133,141
0,14-Jul,132,140
0,14-Aug,137,145
0,14-Sep,139,146
0,14-Oct,137,145
0,14-Nov,140,148
0,14-Dec,142,149
0,15-Jan,143,150
0,15-Feb,137,144
0,15-Mar,144,151
0,15-Apr,147,154
0,15-May,167,174
0,15-Jun,159,165
0,15-Jul,160,167
0,15-Aug,152,159
0,15-Sep,155,164
0,15-Oct,157,165
0,15-Nov,165,173
0,15-Dec,185,195
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,