,Date,"Eastern region (Kunar, Laghman, Nangarhar)","Southern region (Hilmand, Kandahar)","Western region (Badghis, Farah, Ghor, Hirat, Nimroz)","North-eastern region (Badakhshan, Takhar)","Northern region (Baghlan, Balkh, Faryab)"
0,10-Jul,230,233,195,95,142
0,10-Aug,227,228,254,102,151
0,10-Sep,267,231,272,106,155
0,10-Oct,236,213,272,133,161
0,10-Nov,245,235,280,127,165
0,10-Dec,268,312,312,137,166
0,11-Jan,332,295,336,167,178
0,11-Feb,329,298,359,179,192
0,11-Mar,305,287,361,179,205
0,11-Apr,294,251,334,173,208
0,11-May,297,249,309,184,206
0,11-Jun,328,251,296,204,226
0,Jul-11,351,246,286,230,182
0,11-Aug,346,237,300,207,191
0,11-Sep,365,237,269,208,192
0,11-Dec,336,221,287,229,191
0,12-Jan,331,221,250,230,190
0,12-Feb,326,198,249,230,210
0,12-Mar,325,198,233,239,150
0,12-Apr,296,178,235,238,155
0,12-May,289,184,255,259,158
0,12-Jun,302,180,257,201,158
0,12-Jul,292,179,236,194,131
0,12-Aug,306,181,250,202,132
0,12-Sep,290,180,252,180,130
0,12-Oct,275,179,233,159,128
0,12-Nov,234,176,227,164,135
0,12-Dec,227,174,261,155,143
0,13-Jan,228,183,252,158,145
0,13-Feb,197,181,239,145,153
0,13-Mar,192,182,233,142,151
0,13-Apr,174,173,209,109,141
0,13-May,175,172,215,109,134
0,13-Jun,149,166,202,80,101
0,13-Jul,144,166.4,189,107,123
0,13-Aug,145,163,192,107,112
0,13-Sep,121,160,185,121,103
0,13-Oct,145,171,190,122,107
0,13-Nov,112,179,218,121.9,109
0,13-Dec,145,160,196,125,118
0,14-Jan,141,160,195,115,131
0,14-Feb,128,167,196,89,138
0,14-Mar,127.7,172,190,88.8,136
0,14-Apr,128,144,192,95,129
0,14-May,115,140,189,90,131
0,14-Jun,120,150,201,77,120
0,14-Jul,132,143,197,77,118
0,14-Aug,129,146,210,89,112
0,14-Sep,123,145.9,210.1,99,117
0,14-Oct,125,146.2,205,94,117
0,14-Nov,142,143,195,103,125
0,14-Dec,143,144,195,106,128
0,15-Jan,140,145,203,105,124
0,15-Feb,140.3,136,190,99,127
0,15-Mar,157,143,197,93,129
0,15-Apr,175,142,196,93,128
0,15-May,187,156,247,96,125
0,15-Jun,189,153,224,94,119
0,15-Jul,206,150,217,95,117
0,15-Aug,179,145,203,119,112
0,15-Sep,187,147,206,118.8,121
0,15-Oct,208,143,199,116,116
0,15-Nov,219,152,204,119,130
0,15-Dec,216,191,242,128,144
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,17-Jan,239,181,294,94,134
,17-Feb,222,182,290,98,131
,17-Mar,206,162,266,92,124
,17-Apr,192,152,221,82,103
,17-May,187,163,252,67,98
,17-Jun,187,149,246,54,88
,17-Jul,181,113,207,63,82
,17-Aug,168,120,213,63.3,80
,17-Sep,155,117,212,70,77
,17-Oct,144,114,197,73,73
,17-Nov,123,112,189,73,77
,17-Dec,114,103,198,74,74
,18-Jan,106,96,175,78,77
,18-Feb,104,95,194,72,74
,18-Mar,93,88,196,67,62
,18-Apr,96,90,178,58,64
,18-May,107,87,165,62,57
,18-Jun,110,85,213,46,59
,18-Jul,98,80,135,70,56
,18-Aug,110,81,117,68,54
,18-Sep,98,79,112,63,51
,18-Oct,97,76,104,42,59
,18-Nov,99,79,110,45,57
,18-Dec,103,79,112,46,64
,19-Jan,107,86,102,51,62
,19-Feb,108,84,98,39,55
,19-Mar,106,80,88,34,48
,19-Apr,96,72,82,32,46
,19-May,87,64,73,33,39
,19-Jun,83,63,66,38,40
,19-Jul,87,65,78,45,49
,19-Aug,93,70,84,39,57
,19-Sep,98,71,95,56,61
,19-Oct,107,70,100,51,57
,19-Nov,110,68,106,56,54
,19-Dec,104,69,99,57,56
,20-Jan,111,64,110,45,54
,20-Feb,110,61,100,44,54
,20-Mar,99,56,91,43.9,52
,20-Apr,103,54,86,48,53
,20-May,102,53,79,41,54
,20-Jun,94,52,82,44,44