,0,1,2,3,,,
1,,Dec_2016,Jan_2017,"Change  
 %",Jan_2016,Jan_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),206,199,-3%,205,199,-3%
3,Dry opium Trader price (US$/Kg),214,207,-3%,213,207,-3%
4,Fresh Opium Farm-gate price (US$/Kg),186,178,-4%,188,178,-5%
5,Fresh Opium Trader price (US$/Kg),196,187,-5%,199,187,-6%
6,Heroin High Quality,3414,3337,-2%,3622,3337,-8%
7,Heroin Medium Quality,2493,2738,10%,2429,2444,1%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price change 
(Jan-Dec) %",Hilmand,,"Price change 
(Jan-Dec) %"
1,,16-Dec,17-Jan,,16-Dec,17-Jan,
2,"Farm-gate price 
(US$/Kg)",194,165,-15%,400,400,0.00%
,0,1,,,,,
0,"Average Price US$/Kg
275
250
225
200
175
150
125
100
75
50
25",,,,,,
1,0,"Jul-05
Oct-05
Jan-06
Jul-06
Oct-06
Jan-07
Apr-07
Jul-07
Oct-07
Jan-08
Apr-08
Jul-08
Oct-08
Jan-09
Apr-09
Jul-09
Oct-09
Jan-10
Apr-10
Jul-10
Oct-10
Jan-11
Apr-11
Jul-11
Oct-11
Jan-12
Apr-12
Jul-12
Oct-12
Jan-13
Apr-13
Jul-13
Oct-13
Jan-14
Apr-14
Jul-14
Oct-14
Jan-15
Apr-15
Jul-15
Oct-15
Jan-16
Apr-16
Jul-16
Oct-16
Jan-17
Farm-gate
Traders",,,,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Jan_2017,Feb_2017,"Change  
%",Feb_2016,Feb_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),199,195,-2%,217,195,-10%
3,Dry opium Trader price (US$/Kg),207,202,-2%,226,202,-11%
4,Fresh Opium Farm-gate price (US$/Kg),178,177,-1%,199,177,-11%
5,Fresh Opium Trader price (US$/Kg),187,186,-1%,210,186,-12%
6,Heroin High Quality,3337,3478,4%,3412,3478,2%
7,Heroin Medium Quality,2444,2509,3%,2345,2796,19%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Jan_2017,Feb_2017,"Change  
%",Feb_2016,Feb_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),199,195,-2%,217,195,-10%
3,Dry opium Trader price (US$/Kg),207,202,-2%,226,202,-11%
4,Fresh Opium Farm-gate price (US$/Kg),178,177,-1%,199,177,-11%
5,Fresh Opium Trader price (US$/Kg),187,186,-1%,210,186,-12%
6,Heroin High Quality,3337,3478,4%,3412,3478,2%
7,Heroin Medium Quality,2444,2509,3%,2345,2796,19%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
 change 
(Feb-Jan) 
 %",Hilmand,,"Price 
 Change 
 (Feb-Jan) 
 %"
1,,17-Jan,17-Feb,,17-Jan,17-Feb,
2,"Farm-gate price 
(US$/Kg)",165,163,-1%,400,398,-0.50%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Feb_2017,Mar_2017,"Change  
%",,Mar_2016 Mar_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),195,179,-8%,231,179,-23%
3,Dry opium Trader price (US$/Kg),202,187,-8%,242,187,-23%
4,Fresh Opium Farm-gate price (US$/Kg),177,158,-11%,216,158,-27%
5,Fresh Opium Trader price (US$/Kg),186,167,-10%,227,167,-26%
6,Heroin High Quality,3478,3380,-3%,3717,3380,-9%
7,Heroin Medium Quality,2509,2431,-3%,2468,2431,-1%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Feb_2017,Mar_2017,"Change  
%",,Mar_2016 Mar_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),195,179,-8%,231,179,-23%
3,Dry opium Trader price (US$/Kg),202,187,-8%,242,187,-23%
4,Fresh Opium Farm-gate price (US$/Kg),177,158,-11%,216,158,-27%
5,Fresh Opium Trader price (US$/Kg),186,167,-10%,227,167,-26%
6,Heroin High Quality,3478,3380,-3%,3717,3380,-9%
7,Heroin Medium Quality,2509,2431,-3%,2468,2431,-1%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
 change 
(Mar-Feb) 
 %",Hilmand,,"Price 
 Change 
 (Mar-Feb) 
 %"
1,,17-Feb,17-Mar,,17-Feb,17-Mar,
2,"Farm-gate price 
(US$/Kg)",163,161,-1%,398,376,-5%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Mar_2017,Apr_2017,"Change  
%",Apr_2016,Apr_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),179,158,-12%,195,158,-19%
3,Dry opium Trader price (US$/Kg),187,165,-11%,206,165,-20%
4,Fresh Opium Farm-gate price (US$/Kg),158,134,-15%,168,134,-20%
5,Fresh Opium Trader price (US$/Kg),167,143,-15%,179,143,-20%
6,Heroin High Quality,3380,3352,-1%,3186,3352,5%
7,Heroin Medium Quality,2431,2341,-4%,2305,2341,2%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Mar_2017,Apr_2017,"Change  
%",Apr_2016,Apr_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),179,158,-12%,195,158,-19%
3,Dry opium Trader price (US$/Kg),187,165,-11%,206,165,-20%
4,Fresh Opium Farm-gate price (US$/Kg),158,134,-15%,168,134,-20%
5,Fresh Opium Trader price (US$/Kg),167,143,-15%,179,143,-20%
6,Heroin High Quality,3380,3352,-1%,3186,3352,5%
7,Heroin Medium Quality,2431,2341,-4%,2305,2341,2%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Apr-Mar) 
%",Hilmand,,"Price 
change 
(Apr-Mar) 
%"
1,,17-Mar,17-Apr,,17-Mar,17-Apr,
2,"Farm-gate price 
(US$/Kg)",161,143,-11%,376,355,-6%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Apr_2017,May_2017,"Change  
%",,May_2016 May_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),158,156,-1%,193,156,-19%
3,Dry opium Trader price (US$/Kg),165,163,-2%,202,163,-19%
4,Fresh Opium Farm-gate price (US$/Kg),134,131,-2%,150,131,-13%
5,Fresh Opium Trader price (US$/Kg),143,138,-3%,159,138,-13%
6,Heroin High Quality,"3,352","3,498",4%,"3,438","3,498",2%
7,Heroin Medium Quality,"2,341","2,327",-1%,"2,344","2,327",-1%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Apr_2017,May_2017,"Change  
%",,May_2016 May_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),158,156,-1%,193,156,-19%
3,Dry opium Trader price (US$/Kg),165,163,-2%,202,163,-19%
4,Fresh Opium Farm-gate price (US$/Kg),134,131,-2%,150,131,-13%
5,Fresh Opium Trader price (US$/Kg),143,138,-3%,159,138,-13%
6,Heroin High Quality,"3,352","3,498",4%,"3,438","3,498",2%
7,Heroin Medium Quality,"2,341","2,327",-1%,"2,344","2,327",-1%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(May-Apr) 
%",Hilmand,,"Price 
change 
(May-Apr) 
%"
1,,17-Apr,17-May,,17-Apr,17-May,
2,"Farm-gate price 
(US$/Kg)",143,134,-6%,355,357,1%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,May_2017,June_2017,"Change  
%",June_2016,June_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),156,154,-1%,198,154,-22%
3,Dry opium Trader price (US$/Kg),163,162,-0.10%,207,162,-22%
4,Fresh Opium Farm-gate price (US$/Kg),131,122,-7%,165,122,-26%
5,Fresh Opium Trader price (US$/Kg),138,128,-7%,174,128,-26%
6,Heroin High Quality,"3,498","3,429",-2%,"3,500","3,429",-2%
7,Heroin Medium Quality,"2,327","2,320",-0.30%,"2,324","2,320",-0.10%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,May_2017,June_2017,"Change  
%",June_2016,June_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),156,154,-1%,198,154,-22%
3,Dry opium Trader price (US$/Kg),163,162,-0.10%,207,162,-22%
4,Fresh Opium Farm-gate price (US$/Kg),131,122,-7%,165,122,-26%
5,Fresh Opium Trader price (US$/Kg),138,128,-7%,174,128,-26%
6,Heroin High Quality,"3,498","3,429",-2%,"3,500","3,429",-2%
7,Heroin Medium Quality,"2,327","2,320",-0.30%,"2,324","2,320",-0.10%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Jun-May) 
%",Hilmand,,"Price 
change 
(Jun-May) 
%"
1,,17-May,17-Jun,,17-May,17-Jun,
2,"Farm-gate price 
(US$/Kg)",134,130,-3%,357,352,-2%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,June_2017,July_2017,"Change  
%",July_2016,July_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),154,137,-11%,188,137,-27%
3,Dry opium Trader price (US$/Kg),162,138,-15%,198,138,-30%
4,Fresh Opium Farm-gate price (US$/Kg),122,105,-14%,156,105,-33%
5,Fresh Opium Trader price (US$/Kg),128,112,-12%,166,112,-32%
6,Heroin High Quality,"3,429","3,339",-3%,"3,343","3,339",-0.10%
7,Heroin Medium Quality,"2,320","2,237",-4%,"2,414","2,237",-7%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,June_2017,July_2017,"Change  
%",July_2016,July_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),154,137,-11%,188,137,-27%
3,Dry opium Trader price (US$/Kg),162,138,-15%,198,138,-30%
4,Fresh Opium Farm-gate price (US$/Kg),122,105,-14%,156,105,-33%
5,Fresh Opium Trader price (US$/Kg),128,112,-12%,166,112,-32%
6,Heroin High Quality,"3,429","3,339",-3%,"3,343","3,339",-0.10%
7,Heroin Medium Quality,"2,320","2,237",-4%,"2,414","2,237",-7%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Jul-Jun) 
%",Hilmand,,"Price 
change 
(Jul-Jun) 
%"
1,,17-Jun,17-Jul,,17-Jun,17-Jul,
2,"Farm-gate price 
(US$/Kg)",130,123,-6%,352,283,-20%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,July_2017,August_2017,"Change  
%",,August_2016 August_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),137,136,-1%,187,136,-27%
3,Dry opium Trader price (US$/Kg),138,143,4%,197,143,-27%
4,Fresh Opium Farm-gate price (US$/Kg),105,110,5%,162,110,-32%
5,Fresh Opium Trader price (US$/Kg),112,115,2%,172,115,-33%
6,Heroin High Quality,"3,339","3,325",-0.40%,"3,333","3,325",-0.20%
7,Heroin Medium Quality,"2,237","2,270",1%,"2,383","2,270",-5%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,July_2017,August_2017,"Change  
%",,August_2016 August_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),137,136,-1%,187,136,-27%
3,Dry opium Trader price (US$/Kg),138,143,4%,197,143,-27%
4,Fresh Opium Farm-gate price (US$/Kg),105,110,5%,162,110,-32%
5,Fresh Opium Trader price (US$/Kg),112,115,2%,172,115,-33%
6,Heroin High Quality,"3,339","3,325",-0.40%,"3,333","3,325",-0.20%
7,Heroin Medium Quality,"2,237","2,270",1%,"2,383","2,270",-5%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Aug-Jul) 
%",Hilmand,,"Price 
change 
(Aug-Jul) 
%"
1,,17-Jul,17-Aug,,17-Jul,17-Aug,
2,"Farm-gate price 
(US$/Kg)",123,117,-4%,283,286,1%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,August_2017 September_2017,,"Change  
%",September_2016,September_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),136,133,-2%,191,133,-30%
3,Dry opium Trader price (US$/Kg),143,140,-2%,200,140,-30%
4,Fresh Opium Farm-gate price (US$/Kg),110,108,-2%,169,108,-36%
5,Fresh Opium Trader price (US$/Kg),115,115,0%,178,115,-35%
6,Heroin High Quality,"3,325","3,300",-1%,"3,484","3,300",-5%
7,Heroin Medium Quality,"2,270","2,264",-0.30%,"2,483","2,264",-9%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,August_2017 September_2017,,"Change  
%",September_2016,September_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),136,133,-2%,191,133,-30%
3,Dry opium Trader price (US$/Kg),143,140,-2%,200,140,-30%
4,Fresh Opium Farm-gate price (US$/Kg),110,108,-2%,169,108,-36%
5,Fresh Opium Trader price (US$/Kg),115,115,0%,178,115,-35%
6,Heroin High Quality,"3,325","3,300",-1%,"3,484","3,300",-5%
7,Heroin Medium Quality,"2,270","2,264",-0.30%,"2,483","2,264",-9%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Sep-Aug) 
%",Hilmand,,"Price 
change 
(Sep-Aug) 
%"
1,,17-Aug,17-Sep,,17-Aug,17-Sep,
2,"Farm-gate price 
(US$/Kg)",117,114,-3%,286,284,-1%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,September_2017 October_2017,,"Change  
%",,October_2016 October_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),133,127,-5%,198,127,-36%
3,Dry opium Trader price (US$/Kg),140,134,-4%,207,134,-35%
4,Fresh Opium Farm-gate price (US$/Kg),108,101,-6%,187,101,-46%
5,Fresh Opium Trader price (US$/Kg),115,108,-6%,196,108,-45%
6,Heroin High Quality,"3,300","3,497",6%,"3,525","3,497",-1%
7,Heroin Medium Quality,"2,264","2,239",-1%,"2,528","2,239",-11%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,September_2017 October_2017,,"Change  
%",,October_2016 October_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),133,127,-5%,198,127,-36%
3,Dry opium Trader price (US$/Kg),140,134,-4%,207,134,-35%
4,Fresh Opium Farm-gate price (US$/Kg),108,101,-6%,187,101,-46%
5,Fresh Opium Trader price (US$/Kg),115,108,-6%,196,108,-45%
6,Heroin High Quality,"3,300","3,497",6%,"3,525","3,497",-1%
7,Heroin Medium Quality,"2,264","2,239",-1%,"2,528","2,239",-11%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Oct-Sep) 
%",Hilmand,,"Price 
change 
(Oct-Sep) 
%"
1,,17-Sep,17-Oct,,17-Sep,17-Oct,
2,"Farm-gate price 
(US$/Kg)",114,112,-1%,284,264,-7%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,October_2017,November_2017,"Change  
%",,November_2016 November_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),127,120,-5%,209,120,-43%
3,Dry opium Trader price (US$/Kg),134,127,-5%,216,127,-41%
4,Fresh Opium Farm-gate price (US$/Kg),101,99,-2%,189,99,-48%
5,Fresh Opium Trader price (US$/Kg),109,108,-1%,198,108,-46%
6,Heroin High Quality,"3,497","3,221",-8%,"3,434","3,221",-6%
7,Heroin Medium Quality,"2,239","2,074",-7%,"2,482","2,074",-16%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,October_2017,November_2017,"Change  
%",,November_2016 November_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),127,120,-5%,209,120,-43%
3,Dry opium Trader price (US$/Kg),134,127,-5%,216,127,-41%
4,Fresh Opium Farm-gate price (US$/Kg),101,99,-2%,189,99,-48%
5,Fresh Opium Trader price (US$/Kg),109,108,-1%,198,108,-46%
6,Heroin High Quality,"3,497","3,221",-8%,"3,434","3,221",-6%
7,Heroin Medium Quality,"2,239","2,074",-7%,"2,482","2,074",-16%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Nov-Oct) 
%",Hilmand,,"Price 
change 
(Nov-Oct) 
%"
1,,17-Oct,17-Nov,,17-Oct,17-Nov,
2,"Farm-gate price 
(US$/Kg)",112,113,1%,264,260,-2%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,November_2017 December_2017,,"Change  
%",December_2016,December_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),120,118,-2%,206,118,-43%
3,Dry opium Trader price (US$/Kg),127,126,-1%,214,126,-41%
4,Fresh Opium Farm-gate price (US$/Kg),99,98,-1%,186,98,-47%
5,Fresh Opium Trader price (US$/Kg),108,107,-1%,196,107,-45%
6,Heroin High Quality,"3,221","3,158",-2%,"3,414","3,158",-7%
7,Heroin Medium Quality,"2,074","2,158",4%,"2,493","2,158",-13%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,November_2017 December_2017,,"Change  
%",December_2016,December_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),120,118,-2%,206,118,-43%
3,Dry opium Trader price (US$/Kg),127,126,-1%,214,126,-41%
4,Fresh Opium Farm-gate price (US$/Kg),99,98,-1%,186,98,-47%
5,Fresh Opium Trader price (US$/Kg),108,107,-1%,196,107,-45%
6,Heroin High Quality,"3,221","3,158",-2%,"3,414","3,158",-7%
7,Heroin Medium Quality,"2,074","2,158",4%,"2,493","2,158",-13%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,November_2017 December_2017,,"Change  
%",December_2016,December_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),120,118,-2%,206,118,-43%
3,Dry opium Trader price (US$/Kg),127,126,-1%,214,126,-41%
4,Fresh Opium Farm-gate price (US$/Kg),99,98,-1%,186,98,-47%
5,Fresh Opium Trader price (US$/Kg),108,107,-1%,196,107,-45%
6,Heroin High Quality,"3,221","3,158",-2%,"3,414","3,158",-7%
7,Heroin Medium Quality,"2,074","2,158",4%,"2,493","2,158",-13%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,November_2017 December_2017,,"Change  
%",December_2016,December_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),120,118,-2%,206,118,-43%
3,Dry opium Trader price (US$/Kg),127,126,-1%,214,126,-41%
4,Fresh Opium Farm-gate price (US$/Kg),99,98,-1%,186,98,-47%
5,Fresh Opium Trader price (US$/Kg),108,107,-1%,196,107,-45%
6,Heroin High Quality,"3,221","3,158",-2%,"3,414","3,158",-7%
7,Heroin Medium Quality,"2,074","2,158",4%,"2,493","2,158",-13%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Dec-Nov) 
%",Hilmand,,"Price 
change 
(Dec-Nov) 
%"
1,,17-Nov,17-Dec,,17-Nov,17-Dec,
2,"Farm-gate price 
(US$/Kg)",113,114,1%,260,248,-5%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,December_2017,January_2018,"Change  
%",January_2017,January_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),118,111,-6%,199,111,-44%
3,Dry opium Trader price (US$/Kg),126,117,-7%,207,117,-43%
4,Fresh Opium Farm-gate price (US$/Kg),98,91,-7%,178,91,-49%
5,Fresh Opium Trader price (US$/Kg),107,99,-7%,187,99,-47%
6,Heroin High Quality,"3,158","3,227",2%,"3,337","3,227",-3%
7,Heroin Medium Quality,"2,158","2,142",-1%,"2,444","2,142",-12%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,December_2017,January_2018,"Change  
%",January_2017,January_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),118,111,-6%,199,111,-44%
3,Dry opium Trader price (US$/Kg),126,117,-7%,207,117,-43%
4,Fresh Opium Farm-gate price (US$/Kg),98,91,-7%,178,91,-49%
5,Fresh Opium Trader price (US$/Kg),107,99,-7%,187,99,-47%
6,Heroin High Quality,"3,158","3,227",2%,"3,337","3,227",-3%
7,Heroin Medium Quality,"2,158","2,142",-1%,"2,444","2,142",-12%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Jan-Dec) 
%",Hilmand,,"Price 
change 
(Jan-Dec) 
%"
1,,17-Dec,18-Jan,,17-Dec,18-Jan,
2,"Farm-gate price 
(US$/Kg)",114,115,1%,248,227,-9%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,January_2018,February_2018,"Change  
%",February_2017,February_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),111,113,2%,195,113,-42%
3,Dry opium Trader price (US$/Kg),117,119,2%,202,119,-41%
4,Fresh Opium Farm-gate price (US$/Kg),91,94,3%,177,94,-47%
5,Fresh Opium Trader price (US$/Kg),99,103,4%,186,103,-45%
6,Heroin High Quality,"3,227","3,249",1%,"3,478","3,249",-7%
7,Heroin Medium Quality,"2,142","2,119",-1%,"2,509","2,119",-16%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,January_2018,February_2018,"Change  
%",February_2017,February_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),111,113,2%,195,113,-42%
3,Dry opium Trader price (US$/Kg),117,119,2%,202,119,-41%
4,Fresh Opium Farm-gate price (US$/Kg),91,94,3%,177,94,-47%
5,Fresh Opium Trader price (US$/Kg),99,103,4%,186,103,-45%
6,Heroin High Quality,"3,227","3,249",1%,"3,478","3,249",-7%
7,Heroin Medium Quality,"2,142","2,119",-1%,"2,509","2,119",-16%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,January_2018,February_2018,"Change  
%",February_2017,February_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),111,113,2%,195,113,-42%
3,Dry opium Trader price (US$/Kg),117,119,2%,202,119,-41%
4,Fresh Opium Farm-gate price (US$/Kg),91,94,3%,177,94,-47%
5,Fresh Opium Trader price (US$/Kg),99,103,4%,186,103,-45%
6,Heroin High Quality,"3,227","3,249",1%,"3,478","3,249",-7%
7,Heroin Medium Quality,"2,142","2,119",-1%,"2,509","2,119",-16%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
